1.000000000000000000e+00 -3.141592653589793116e+00 9.869604401089357992e+00 -3.100627668029981621e+01 9.740909103400241520e+01 -3.060196847852813562e+02 9.613891935753041480e+02 -3.020293227776790900e+03 9.488531016070570331e+03 -2.980909933344620003e+04 9.364804747608298203e+04
1.000000000000000000e+00 -3.078126135335453650e+00 9.474860505035175962e+00 -2.916481574920645059e+01 8.977298158987542820e+01 -2.763325608787840793e+02 8.505864776851606166e+02 -2.618212467325619400e+03 8.059188223536111764e+03 -2.480719790045421178e+04 7.635968420182690897e+04
1.000000000000000000e+00 -3.014659617081114629e+00 9.088172606859652447e+00 -2.739774695096259549e+01 8.259488133207418059e+01 -2.489954533294108501e+02 7.506365379889803080e+02 -2.262913658180953007e+03 6.821914422259415915e+03 -2.056574991996870449e+04 6.199873577871881571e+04
1.000000000000000000e+00 -2.951193098826775163e+00 8.709540706562783896e+00 -2.570353642715896214e+01 7.585609931927415062e+01 -2.238659968149603117e+02 6.606717848622877227e+02 -1.949770012075151499e+03 5.754147803935585216e+03 -1.698160128860394252e+04 5.011598452995582920e+04
1.000000000000000000e+00 -2.887726580572436141e+00 8.338964804144573861e+00 -2.408065031938630440e+01 6.953833400476194981e+01 -2.008076954742751923e+02 5.798777198045597743e+02 -1.674528304961362664e+03 4.835579896157832991e+03 -1.396383259861667466e+04 4.032373056168924813e+04
1.000000000000000000e+00 -2.824260062318096676e+00 7.976444899605019678e+00 -2.252755476923533706e+01 6.362367323643493222e+01 -1.796897993396399329e+02 5.074907238808977468e+02 -1.433285783453720342e+03 4.047971796096646358e+03 -1.143252507710581267e+04 3.228842398672006675e+04
1.000000000000000000e+00 -2.760793544063757654e+00 7.621980992944123123e+00 -2.104271591829680332e+01 5.809459425680147859e+01 -1.603871807691809863e+02 4.427958932181417140e+02 -1.222468043334590675e+03 3.374981881862391674e+03 -9.317628190777842974e+03 2.572404775508593957e+04
1.000000000000000000e+00 -2.697327025809418188e+00 7.275573084161881532e+00 -1.962459990816142508e+01 5.293396370298084008e+01 -1.427802108792650131e+02 3.851249215554094576e+02 -1.038807859224138156e+03 2.802004513308493188e+03 -7.557922500186964498e+03 2.038618861872738853e+04
1.000000000000000000e+00 -2.633860507555079167e+00 6.937221173258299345e+00 -1.827167288041994553e+01 4.812503760670325192e+01 -1.267546359768986974e+02 3.338540298490736973e+02 -8.793249445075897484e+02 2.316019244646602147e+03 -6.100071623212230406e+03 1.606673774163610142e+04
1.000000000000000000e+00 -2.570393989300739701e+00 6.606925260233371233e+00 -1.698240097666308301e+01 4.365146139430979844e+01 -1.122014539921271989e+02 2.884019429321672305e+02 -7.413066206154976499e+02 1.905450081858919020e+03 -4.897757437322768055e+03 1.258916627794743727e+04
